ID1,ID2,Distance
Taif_KSA_7032_2014_KU710264_human_2014_11_04,Taif_2_2013_KJ156896_human_2013_06_12,0.00270266
Riyadh_2_2012_KF600652_human_2012_10_30,Riyadh_7_2013_KJ156937_human_2013_07_15,0.0011989
Jeddah_C7770_KSA_KM027257_human_2014_04_07,Jeddah_C8826_KSA_KM027258_human_2014_04_12,0.000265611
KFMC_7_KT121581_human_2014_05_03,KFMC_8_KT121579_human_2014_04_30,0.000332023
Qatar4_KF961222_human_2013_10_17,Riyadh_KKUH_104__human_2014_04_25,0.000963786
Jeddah_KFH_899NF__human_2014_06_16,Jeddah_KFH_949NSG1__human_2014_06_18,3.31939e-05
ChinaGD01_KT036372_human_2015_05_28,Hufuf_KSA_11002_2015_KT806046_human_2015_05_10,6.63923e-05
Riyadh_KSA_2343_2015_KR011264_human_2015_01_21,Riyadh_KSA_2345_2015_KR011263_human_2015_01_21,1.10769e-16
England_2_2013_KM015348_human_2013_02_10,England_3_2013_KM210278_human_2013_02_10,1.1077e-16
KFMC_2_KT121577_human_2014_05_11,KFMC_3_KT121573_human_2014_05_09,3.31928e-05
KOR_CNUH_SNU_016_06_2015_KT868865_human_2015_06_11,KOR_CNUH_SNU_023_06_2015_KT868866_human_2015_06_11,1.10767e-16
Riyadh_2_2012_KF600652_human_2012_10_30,Riyadh_8_2013_KJ156880_human_2013_07_17,0.0012089
Makkah_C9355_KSA_Makkah_KM027261_human_2014_04_15,Munich_AbuDhabi_2013_KF192507_human_2013_03_22,0.00149601
Jeddah_C7770_KSA_KM027257_human_2014_04_07,Jeddah_C9055_KSA_KM027259_human_2014_04_14,0.000232399
AbuDhabi_UAE_16_2014_KP209308_human_2014_04_10,AbuDhabi_UAE_18_2014_KP209307_human_2014_04_10,0.00016598
Taif_KSA_7032_2014_KU710264_human_2014_11_04,UAE_FRA1_1627_2013_BAL_KJ361500_human_2013_04_26,0.00269594
Riyadh_11_2013_KJ156946_human_2013_08_06,Riyadh_12_2013_KJ156926_human_2013_08_08,0.000912934
Al_Hasa_19_2013_KF600632_human_2013_05_23,Al_Hasa_1_2013_KF186567_human_2013_05_09,9.95828e-05
Jordan_1_2015_KU233363_human_2015_09_17,Kharj_KSA_2598_2015_KT806053_human_2015_02_02,0.000998478
Jeddah_1_KF958702_human_2013_11_05,Riyadh_3_2013_KF600613_human_2013_02_05,0.00116311
Riyadh_KKUH_643__human_2014_11_02,Riyadh_KKUH_665__human_2014_11_19,3.3195e-05
